# APOGEE_ID,NVISITS,SNR,J,J_ERR,H,H_ERR,K,K_ERR,AK,AK_SRC,RA,DEC,GLON,GLAT,PMRA,PMDEC,PM_SRC,TEFF,TEFF_ERR,LOGG,LOGG_ERR,FE_H,FE_H_ERR,SPARAMTYPE,STARTYPE,MSTAR,MSTAR_ERR,RSTAR,RSTAR_ERR,DIST,DIST_ERR,MSTAR_SRC,VJITTER,BASELINE,SIGMA_V,SIG_RVVAR,PERIOD,PERIOD_ERR,SEMIAMP,SEMIAMP_ERR,ECC,ECC_ERR,OMEGA,T0,TPERI,V0,SLOPE,NITER,CHI2,DOF,FIT_RMS,PUI,VUI,MASSFN,MSINI,SEMIMAJ,
2M19410909+2331524,9,122.857,13.141,0.025,12.2,0.023,11.892,0.021,0.466343,RJCE_IRAC        ,295.287902,23.531225,59.3751615821,0.368906652223,0,0,none                ,4867.9,91.4667,2.5789,0.106893,0.140623,0.0342413,1,RG ,2.99154,1.47622,0.0684129,0.0146301,5200.56,149.178,3,54.0922,348.967,84.6948318481,19.4604187012,566.409232602,30.6446712652,3912.32939435,869.882667932,0.570591199802,0.117646482517,1.31850672587,2456186.95425,2456181.80808,3228.95940457,0,7,19.6925389077,4,117.202818861,0.748409569263,0.80689907074,0.00194652420155,0.274871733472,1.82054046006,
2M19411443+2454266,9,87.0707,13.592,0.033,12.637,0.028,12.24,0.028,0.552636,RJCE_IRAC        ,295.310138,24.907413,60.581420157,1.03183958007,0,0,none                ,5075.2,91.4667,2.97581,0.106893,0.207486,0.0345179,1,RG ,2.82138,1.0577,0.0420694,0.00594807,3700.26,104.751,3,31.0332,348.967,114.861938477,4.18484592438,48.8766578064,0.22819037469,877.429694684,1174.90344233,0.83426149389,0.297880344903,-0.734911777237,2455826.77327,2455823.54091,515.685974287,0,13,1.12827005567,4,47.5564038791,0.886369407177,0.83289039135,5.73439473304e-07,0.0166533276523,0.368230084041,
2M19424644+2318442,30,118.048,14.919,0.044,13.523,0.036,12.907,0.034,0.86751,RJCE_IRAC        ,295.693535,23.312281,59.3695514913,-0.0628865439342,0,0,none                ,4832.32,91.4667,2.63958,0.106893,0.153647,0.0341634,1,RG ,3.39629,1.58358,0.0679758,0.0134596,6820.75,135.471,3,49.6873,984.175,155.724601746,7.94839954376,1550.65927713,81.440296074,4157.93253018,39626.6738736,0.42082110158,0.399361342073,0.929417602924,2456881.92466,2456820.93141,31565909.2582,-12.8593568947,15,91.742345393,24,252.468237358,0.814407289028,0.894177734852,0.00862182065287,0.508463684638,3.59101106222,
2M19433509+2456366,10,111.065,14.109,0.026,12.701,0.03,12.147,0.023,0.684828,RJCE_IRAC        ,295.89624,24.943506,60.8765740302,0.588321765101,0,0,none                ,4721.5,91.4667,2.35467,0.106893,-0.0742755,0.0356785,1,RG ,1.47356,1.38431,0.062157,0.0281762,4738.06,624.039,3,74.039,354.982,116.770755768,39.2920875549,233.369209642,5.11398213827,9217.23129705,2624.58227868,0.301289999254,0.0531537410774,2.83876407733,2456015.16425,2456042.5274,29627820.4513,-12.0400276949,14,1.27276427043,4,52.6955619454,0.703533411026,0.889312803745,0.0164162397409,0.384054325115,0.723365513676,
2M19445003+2439272,31,108.477,14.637,0.046,13.619,0.05,13.183,0.039,0.48195,RJCE_IRAC        ,296.208493,24.657574,60.7702899931,0.199981757919,0,0,none                ,4913.94,91.4667,2.90784,0.106893,-0.0195912,0.0359772,1,RG ,2.29067,7.10594,0.0409926,0.0633815,5663.12,100.345,3,34.1314,754.908,189.342102051,5.61001825333,1002.2496539,44.3543765014,1300.47732147,72.8843470394,0.260743160321,0.0664413183312,1.006988126,2456855.85848,2456803.81715,-80892.443857,0,9,40.1342731704,26,245.015064951,0.829492926598,0.870516121387,0.000205513009072,0.105674051486,2.507183157,
2M19452035+2457557,33,142.828,14.29,0.044,13.062,0.032,12.613,0.03,0.62424,RJCE_IRAC        ,296.334808,24.965488,61.0942483006,0.254841345012,0,0,none                ,4687.31,91.4667,2.45755,0.106893,-0.672227,0.0415792,1,RG ,1.08631,0.337832,0.0474072,0.00450582,4657.75,264.918,3,64.1083,984.175,225.753387451,14.3988695145,742.200220576,18.6572975815,3099.07810745,73.6016964303,0.193861203541,0.0467145310646,-0.0708528370458,2456485.83451,2456337.78346,1436759.06542,-0.612690606288,15,45.5973768591,27,377.746908316,0.776284456253,0.769756376743,0.00216115658265,0.148829801246,1.51391998605,
2M19453527+2333077,33,164.073,14.165,0.036,13.072,0.041,12.708,0.033,0.506736,RJCE_IRAC        ,296.396972,23.552155,59.8995626013,-0.502441439844,0,0,none                ,4687.51,91.4667,2.62669,0.106893,0.268544,0.0312862,1,RC ,2.23061,0.787062,0.0559124,0.00706799,5908.46,295.423,2,50.5919,990.19,108.975311279,10.9076557159,483.110990018,7.85695141799,3763.41953273,655.272245633,0.376477364115,0.0631346412117,-0.012880083046,2455923.16619,2455858.09322,13590.1862358,0,14,124.203762207,28,380.54027778,0.835662305355,0.75728148222,0.00212152847011,0.234475806632,1.47288485898,
2M19471487+2244208,30,114.401,14.215,0.05,13.319,0.048,13.083,0.042,0.328644,WISE             ,296.811982,22.739138,59.3882980496,-1.24087812527,0,0,none                ,4873.98,91.4667,2.82355,0.106893,-0.49995,0.0408137,1,RG ,1.14518,0.352107,0.0319377,0.00294265,4552.79,156.089,3,38.4058,984.175,250.541023254,7.45706653595,1370.44643773,63.6107788362,2786.94385583,401.531201343,0.345525506798,0.120757218694,1.71165310141,2457106.42358,2457120.47082,-83559.2328295,0,8,43.7193897113,25,432.898605258,0.847899615765,0.885128736496,0.00254007074181,0.16321277693,2.31155319857,
2M19474741+2321103,10,137.169,12.827,0.031,12.455,0.036,12.275,0.026,0.149634,WISE             ,296.947573,23.352871,59.981360048,-1.03925263467,0,0,None                ,6431.79,91.4667,3.76619,0.106893,0.0844994,0.0392731,1,SG ,1.63586,0.104695,0.0129029,0.000412893,1561.23,2733.78,0,10.2636,354.982,302.713973999,8.85999679565,36.5239224649,0.125264185947,2383.84602865,0,0.879193617249,0.0316692300818,1.31022801568,2455844.72481,2455844.67792,-33671024.5182,13.703227817,12,6.01564595119,4,249.886937488,0.961001694202,0.902289390564,5.54531505231e-06,0.0248217172732,0.251305393842,
2M19480488+2401144,32,120.607,14.49,0.041,13.33,0.034,12.974,0.036,0.484704,RJCE_IRAC        ,297.020352,24.020674,60.5915251371,-0.759620477844,0,0,none                ,5071.51,91.4667,3.08964,0.106893,0.373841,0.0324249,1,RG ,2.09235,0.664268,0.0317789,0.00318623,4026.16,236.097,3,26.462,984.175,140.161575317,17.4305286407,1310.11565779,58.1334174942,5124.76169911,101.790862968,0.175978974639,0.0200156278221,3.10534821057,2457008.99719,2457256.35606,-5682.3663342,0,13,46.6960229219,27,200.662828708,0.854375898838,0.873616456985,0.0174284808969,0.487708095253,2.60632327687,
2M19481421+2307432,27,171.697,13.932,0.028,12.8,0.032,12.321,0.019,0.499392,WISE             ,297.059221,23.12867,59.8396028471,-1.24100335744,0,0,none                ,4876.47,91.4667,2.53864,0.106893,0.0529656,0.0340495,1,RG ,0.869884,1.03879,0.0386413,0.0225767,3536.71,713.378,3,57.2285,990.19,127.272743225,18.5365753174,777.850566481,20.3681965964,4865.54885282,145.698524393,0.490372255763,0.0105323069025,-1.34713107564,2456047.52403,2455728.06475,-23743.1697411,0,16,46.253499765,22,344.757167248,0.686648786068,0.861137092113,0.00614519277108,0.190458114021,1.38473352778,
2M19541546+2141090,13,115.801,13.678,0.031,13.095,0.032,12.881,0.029,0.15147,RJCE_WISE_PARTSKY,298.564456,21.685858,59.30654539,-3.17345007101,-9.3,-9.7,NOMAD               ,5203.07,91.4667,3.12534,0.106893,-0.153003,0.0393047,1,RC ,5.81482,2.80402,0.0508442,0.0105419,7403.89,370.195,2,25.1721,723.99,167.27746582,43.1156349182,20.3580460195,0.0190817564372,12239.8553548,296183.224821,0.776092971313,4.02130064902,-3.02125393339,2456108.55369,2456109.28664,47590959.1889,-19.374731521,16,28.5799893274,7,349.068545446,0.882487297058,0.584163427353,0.000970034493586,0.332178045763,0.252840406026,
2M19565473+2206194,14,133.906,13.772,0.029,13.045,0.037,12.811,0.028,0.0238682,RJCE_WISE_PARTSKY,299.228079,22.10541,59.9846751834,-3.48468012536,0,0,NOMAD               ,4866.7,91.4667,3.32322,0.106893,0.171776,0.0330519,1,RG ,1.30694,0.55202,0.0191937,0.00329413,2728.71,66.9113,3,19.0815,723.99,100.334991455,62.3851356506,99.3199976765,0.454171173741,8052.94840404,81.9989769103,0.400428346351,0.00576180503041,3.05362683693,2456204.16588,2456215.65,-6092931.58044,2.45046881766,13,21.9806418983,8,129.630678578,0.684188783169,0.904994547367,0.00413500961418,0.212082431152,0.41514141327,
2M19595397+2316326,14,101.844,13.668,0.029,12.888,0.032,12.712,0.028,0.197369,RJCE_WISE_PARTSKY,299.974896,23.27573,61.3450885907,-3.4637563261,0,0,NOMAD               ,5034.44,91.4667,2.80063,0.106893,-0.165208,0.0384689,1,RG ,2.28708,1.05805,0.0463415,0.0090762,5987.78,162.078,3,39.6584,723.99,174.811820984,10.5590248108,421.010822275,8.16079905116,2629.67862464,317.319822698,0.116132305605,0.0897646145255,-0.933255810821,2456294.1976,2456136.35869,10272.0788312,0,16,26.1928385679,9,254.525467537,0.78212428093,0.766811549664,0.000777280536672,0.167295818638,1.38180372981,
2M20000379+2209030,14,125.452,13.64,0.031,13.02,0.036,12.896,0.031,0.138618,RJCE_WISE_PARTSKY,300.015817,22.150858,60.4040190127,-4.08423748336,0,0,NOMAD               ,5032.54,91.4667,2.8848,0.106893,-1.31311,0.0533546,1,RG ,0.90299,0.255501,0.0264293,0.00184441,3923.59,164.746,3,35.2501,723.99,367.717071533,21.702331543,481.419209453,10.670702094,9987.99694418,841.168095864,0.10137624822,0.111492786067,-0.472951632522,2456107.81506,2455965.52673,-283854.193382,0,14,9.17302812187,9,318.457617763,0.725292146206,0.732133746147,0.0489385517769,0.446719162636,0.888811089007,
2M20015934+2044307,14,91.2165,13.868,0.032,13.152,0.037,13.042,0.03,0.00459024,RJCE_WISE_PARTSKY,300.49727,20.741873,59.4347908451,-5.20353195665,-1.1,-1.5,NOMAD               ,4797.04,91.4667,2.93749,0.106893,0.398527,0.0321199,1,RG ,1.75814,0.532949,0.0347075,0.00307062,5453.76,147.075,3,32.7435,723.99,122.349067688,53.0071678162,193.270815173,1.7198030763,4307.17920018,3846.00862292,0.274964461123,0.326027408746,0.259284120827,2456144.76949,2456119.77103,-49580178.6055,20.1868528945,15,13.8599821635,8,118.339106258,0.769595265388,0.673673570156,0.00142217571401,0.174481332719,0.741302218464,
2M20032039+2127112,14,108.6,13.66,0.031,13.026,0.03,12.787,0.025,0.0266224,RJCE_WISE_PARTSKY,300.834963,21.453135,60.2086130945,-5.09780171599,0,0,NOMAD               ,4703.16,91.4667,2.46439,0.106893,0.0695331,0.0343422,1,RG ,2.16812,2.01144,0.0664488,0.0297189,9151.81,215.47,3,63.4971,723.99,111.62669754,2.510607481,54.0452273006,0.134480978387,595.967406163,222.132809347,0.747532429951,0.111438231212,2.74493056982,2456121.27433,2456122.47879,-836487.573956,0.321366271775,15,5.08022703924,8,85.6708576315,0.918709158897,0.847173571587,3.47370741026e-07,0.0118182878482,0.360766246795,
2M20110568+1955061,13,112.371,13.722,0.025,13.261,0.031,13.136,0.03,0.0312116,RJCE_WISE_OPS    ,302.773676,19.918379,59.8713759349,-7.44991070181,20,-12,NOMAD               ,4937.6,91.5,4.26592,0.11,-0.043993,0.05,2,MS ,0.857008,0.0548485,0.00514893,0.000164766,906.044,285.217,0,5.09895,760.887,182.9818573,17.2686653137,120.980870942,0.641197635936,5447.89835907,758.102951005,0.0830564549015,0.0828964982557,-1.52125567052,2456110.81498,2456051.44727,-6084179.67863,2.48756206318,16,24.485622125,7,308.057837499,0.785113334656,0.817059159279,0.00200593257258,0.124555662176,0.415399642462,
2M20111794+1908468,13,116.67,13.61,0.026,13.021,0.035,12.992,0.034,0.0486537,RJCE_WISE_OPS    ,302.824788,19.146353,59.2397852793,-7.9043992379,3.1,-2.8,NOMAD               ,5033.14,91.4667,2.99566,0.106893,-0.36485,0.0408152,1,RG ,1.63204,0.529964,0.0312737,0.00331212,4945.47,148.341,3,30.1829,760.887,216.528244019,52.4352912903,65.7337910826,0.189293568939,14625.131525,94.262938947,0.656397092835,0.00445963446314,3.12045332582,2456106.55224,2456110.22032,-36183.9368712,0,17,88.8669912555,8,467.221947188,0.829940438271,0.778859257698,0.0091483348219,0.327499010672,0.332217571199,
